"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"D1,D2,D3,D4,D5,D6,D7,D8","8","BPX61","","","","Package_TO_SOT_THT:TO-5-2_Window","http://www.osram-os.com/Graphics/XPic3/00101650_0.pdf"
"J1","1","USB_B_Micro","","","","","~"
"J2","1","Micro_SD_Card","","","","","https://www.we-online.com/components/products/datasheet/693072010801.pdf"
"J3","1","Conn_01x16_Pin","","","","","~"
"J4","1","Conn_01x08_Pin","","","","","~"
"J5","1","Conn_01x10_Pin","","","","","~"
"J6","1","Conn_01x06_Pin","","","","","~"
"LD1","1","D_Laser_1C2A","","","","","~"
"LD2","1","D_Laser_Photo_MType","","","","","http://www.egismos.disonhu.com/laser/diode-package.htm"
"SW1","1","SW_Push","","","","","~"
"U1","1","Z84C00xxP","","","","Package_DIP:DIP-40_W15.24mm","https://archive.org/details/zilog-z-8400"
"U2","1","XC9536XL-xxVQx44","","","","Package_QFP:TQFP-44_10x10mm_P0.8mm","http://www.xilinx.com/support/documentation/data_sheets/ds058.pdf"
"U3","1","ICE40UP5K-SG48ITR","","","","Package_DFN_QFN:QFN-48-1EP_7x7mm_P0.5mm_EP5.6x5.6mm","http://www.latticesemi.com/Products/FPGAandCPLD/iCE40Ultra"
"U4,U32","2","74HC245","","","","","http://www.ti.com/lit/gpn/sn74HC245"
"U5","1","SN74LVC245APW","","","","Package_SO:TSSOP-20_4.4x6.5mm_P0.65mm","https://www.ti.com/lit/ds/scas218x/scas218x.pdf"
"U6","1","DIO705","","","","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","https://dioo.com/uploads/product/20210528/dae33bc3e6c4b6e07ca730d55ecc4c48.pdf"
"U7","1","Si5342A-D","","","","Package_DFN_QFN:QFN-44-1EP_7x7mm_P0.5mm_EP5.2x5.2mm","https://www.silabs.com/documents/public/data-sheets/Si5345-44-42-D-DataSheet.pdf"
"U8","1","MAX8586","","","","Package_DFN_QFN:DFN-8-1EP_3x3mm_P0.65mm_EP1.55x2.4mm","https://datasheets.maximintegrated.com/en/ds/MAX8586.pdf"
"U9,U11","2","LM317_TO-252","","","","Package_TO_SOT_SMD:TO-252-2","http://www.ti.com/lit/ds/snvs774n/snvs774n.pdf"
"U10","1","MAX1969xUI","","","","Package_SO:HTSSOP-28-1EP_4.4x9.7mm_P0.65mm_EP2.85x5.4mm","https://datasheets.maximintegrated.com/en/ds/MAX1968-MAX1969.pdf"
"U12","1","TMP117xxDRV","","","","Package_SON:WSON-6-1EP_2x2mm_P0.65mm_EP1x1.6mm","https://www.ti.com/lit/ds/symlink/tmp117.pdf"
"U13","1","ADA4817-1ACP","","","","Package_CSP:LFCSP-8-1EP_3x3mm_P0.5mm_EP1.45x1.74mm","https://www.analog.com/media/en/technical-documentation/data-sheets/ADA4817-1_4817-2.pdf"
"U14,U29","2","LMH6551MA","","","","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","http://www.ti.com/lit/ds/symlink/lmh6551.pdf"
"U15","1","BD9001F","","","","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","http://rohmfs.rohm.com/en/products/databook/datasheet/ic/power/switching_regulator/bd9778f-e.pdf"
"U16","1","TPS7A4101DGN","","","","Package_SO:Texas_DGN0008B_VSSOP-8-1EP_3x3mm_P0.65mm_EP2x3mm_Mask1.88x1.98mm_ThermalVias","https://www.ti.com/lit/ds/symlink/tps7a4101.pdf"
"U17","1","AT24CS64-XHM","","","","Package_SO:TSSOP-8_4.4x3mm_P0.65mm","http://ww1.microchip.com/downloads/en/DeviceDoc/Atmel-8870-SEEPROM-AT24CS64-Datasheet.pdf"
"U18","1","ESP-PSRAM32","","","","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","https://www.espressif.com/sites/default/files/documentation/esp-psram32_datasheet_en.pdf"
"U19","1","ATmega328P-A","","","","Package_QFP:TQFP-32_7x7mm_P0.8mm","http://ww1.microchip.com/downloads/en/DeviceDoc/ATmega328_P%20AVR%20MCU%20with%20picoPower%20Technology%20Data%20Sheet%2040001984A.pdf"
"U20","1","CDCV304","","","","Package_SO:TSSOP-8_4.4x3mm_P0.65mm","https://www.ti.com/lit/ds/symlink/cdcv304.pdf"
"U21","1","LM809","","","","Package_TO_SOT_SMD:SOT-23","http://www.ti.com/lit/ds/symlink/lm809.pdf"
"U22","1","XL1509-5.0","","","","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","https://datasheet.lcsc.com/lcsc/1809050422_XLSEMI-XL1509-5-0E1_C61063.pdf"
"U23","1","TPS3839DBZ","","","","Package_TO_SOT_SMD:SOT-23","http://www.ti.com/lit/ds/sbvs193d/sbvs193d.pdf"
"U24,U25","2","IS62C256AL","","","","Package_SO:SOP-28_8.4x18.16mm_P1.27mm","https://www.issi.com/WW/pdf/62-65C256AL.pdf"
"U26","1","28C256","","","","","http://ww1.microchip.com/downloads/en/DeviceDoc/doc0006.pdf"
"U27,U28","2","OPA859xDSG","","","","Package_SON:WSON-8-1EP_2x2mm_P0.5mm_EP0.9x1.6mm","http://www.ti.com/lit/ds/symlink/opa859.pdf"
"U30","1","74LS137","","","","","http://www.ti.com/lit/gpn/sn74LS137"
"U33","1","TMP464xxRGT","","","","Package_DFN_QFN:VQFN-16-1EP_3x3mm_P0.5mm_EP1.68x1.68mm","https://www.ti.com/lit/ds/symlink/tmp464.pdf"
"Y1","1","ECS-2520MV-xxx-xx","","","","Oscillator:Oscillator_SMD_ECS_2520MV-xxx-xx-4Pin_2.5x2.0mm","https://www.ecsxtal.com/store/pdf/ECS-2520MV.pdf"
"Y2","1","ASCO","","","","Oscillator:Oscillator_SMD_Abracon_ASCO-4Pin_1.6x1.2mm","https://abracon.com/Oscillators/ASCO.pdf"
